"UF";"Município";"Partido";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Cargo";"Situação da candidatura";"Detalhe situação candidatura";"Data eleição";"Situação de totalização";
"RN";"ACARI";"PSB";"40200";"MÁRCIA MARIA DOS SANTOS";"MÁRCIA ACARI";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PT";"13000";"MARCOS ANTÔNIO SOARES";"TOINHO DE GOIANO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"MDB";"15000";"MARGARIDA MARIA DE ARAÚJO";"MARGARIDA ARAÚJO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PSB";"40222";"MARIA DA GUIA DOS SANTOS";"GUIA FOFA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PT";"13500";"MARIA DAS VITÓRIAS GARCIA DE OLIVEIRA";"VITÓRIA GARCIA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PT";"13123";"MARIA JOSÉ SOARES";"MARIA SEREIA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"MDB";"15666";"MARINEIDE ALVES DANTAS";"MARINEIDE DE TEREZINHA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PSB";"40777";"MARLON BEZERRA DE OLIVEIRA";"MARLON BEZERRA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PSB";"40123";"NENILVAN RODRIGUES BEZERRA";"NENEN";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"SOLIDARIEDADE";"77123";"PALOMA VITÓRIA DA SILVA BARACHO";"PALOMA DE LANZINHA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PSB";"40000";"RAFAEL BEZERRA DE BRITO ARAÚJO";"RAFAEL BEZERRA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PT";"13333";"RODRIGO RANIERE DE OLIVEIRA";"RODRIGO RANIERE";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"SOLIDARIEDADE";"77000";"RUDYSON RIC DA SILVA SANTOS";"RIC";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"SOLIDARIEDADE";"77115";"SANDRA GIZELI LIMA DE MEDEIROS";"SANDRA DA TAPIOCA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"SOLIDARIEDADE";"77456";"SIDNEI ARAÚJO";"IRMÃO SIDNEI";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"ACARI";"PSB";"40444";"ZUIL RIBEIRO DA SILVA";"ZUIL RIBEIRO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"MDB";"15000";"ALDENOR BEZERRA DA COSTA";"ALDENOR";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22555";"ANY KARINE DA SILVA";"ANY DE JOAN";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22333";"EGINA SOUZA XAVIER PACHA QUINTELA";"EGINA SOUZA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"MDB";"15444";"FERNANDA KARLA DE OLIVEIRA BEZERRA";"FERNANDA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"CIDADANIA";"23123";"FRANCISCO DE ASSIS DE AQUINO";"TICO AQUINO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45123";"GISLENE DA SILVA PAIVA";"GISLENE DE BILIA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45";"HAROLDO JOSÉ BEZERRA DA PAZ";"HAROLDO DE JANGO";"Prefeito";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22221";"HINDENBURGUE SOLINO DA ROCHA";"DABUGO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22222";"JERRYVALDO LUIZ DE ALMEIDA FIGUEIREDO";"JERRY ALMEIDA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"CIDADANIA";"23222";"JOAB FERREIRA TAVARES";"JOAB TAVARES";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSD";"13";"JOAO BATISTA ALVES BEZERRA NETO";"BATISTAO";"Vice-prefeito";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PT";"13";"JOAO BATISTA DA CUNHA NETO";"NETO DE ZORAIDE";"Prefeito";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45555";"JOÃO BATISTA DE MELO NETO";"JOÃO DE ANTÔNIO PEQUENO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22444";"JOÃO MARIA ALVES DE FREITAS";"LALIA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"CIDADANIA";"23456";"JOÃO MARIA JACOMÉ RIBEIRO";"VIO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45000";"JOÃO PAULO ANDRADE BEZERRA";"JOÃO PAULO DE NELY";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
